Rabbit-population,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-infant factor,Rabbit-growth factor,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius
20,3,0,2,0.1,0.2,3,20,30,25
20,3,0,2,0.1,0.2,3,20,30,25
20,3,0,2,0.1,0.2,3,20,30,25
24,2.99744356726759,0.00204325113637679,1.875,0.0992807862093272,0.198133988033422,3.00071959233837,20.0042627643367,30.0043655953022,24.9984721958611
24,2.99744356726759,0.00204325113637679,1.875,0.0992807862093272,0.198133988033422,3.00071959233837,20.0042627643367,30.0043655953022,24.9984721958611
28,2.99426493105943,0.00475983976558243,1.85714285714286,0.101055426970948,0.199092190244943,3.00209562143442,20.0048786616009,30.0049590276527,24.9989114103102
28,2.99426493105943,0.00475983976558243,1.85714285714286,0.101055426970948,0.199092190244943,3.00209562143442,20.0048786616009,30.0049590276527,24.9989114103102
28,2.99426493105943,0.00475983976558243,1.85714285714286,0.101055426970948,0.199092190244943,3.00209562143442,20.0048786616009,30.0049590276527,24.9989114103102
28,2.99426493105943,0.00475983976558243,1.85714285714286,0.101055426970948,0.199092190244943,3.00209562143442,20.0048786616009,30.0049590276527,24.9989114103102
32,2.99697737559538,0.00432852491123068,1.90625,0.100921040784058,0.199817627104302,2.99870021242296,20.0084432798505,30.0031079820926,25.0014879924531
32,2.99697737559538,0.00432852491123068,1.90625,0.100921040784058,0.199817627104302,2.99870021242296,20.0084432798505,30.0031079820926,25.0014879924531
24,2.99693828370205,0.0064965413447919,1.875,0.100967281091079,0.199316223614272,2.99883162253637,20.0109109202178,30.0065376494519,25.0040602726903
23,2.99843149120708,0.00494007028606157,1.8695652173913,0.100571737249476,0.198259602376799,2.99798969926441,20.0113244781292,30.0057654587752,25.0037263980146
